type,file,relative_path,size_kb
table,final_backend_catalog_calibrated.csv,outputs_ai_quantum_open_science/tables/final_backend_catalog_calibrated.csv,1.18
table,final_backend_catalog_frozen_vs_live_anchor_drift.csv,outputs_ai_quantum_open_science/tables/final_backend_catalog_frozen_vs_live_anchor_drift.csv,1.93
table,final_backend_ranking_metrics.csv,outputs_ai_quantum_open_science/tables/final_backend_ranking_metrics.csv,0.26
table,final_dataset_description.csv,outputs_ai_quantum_open_science/tables/final_dataset_description.csv,0.42
table,final_external_anchor_evidence_scope.csv,outputs_ai_quantum_open_science/tables/final_external_anchor_evidence_scope.csv,0.7
table,final_external_qpu_metadata.csv,outputs_ai_quantum_open_science/tables/final_external_qpu_metadata.csv,1.51
table,final_feature_ablation_results.csv,outputs_ai_quantum_open_science/tables/final_feature_ablation_results.csv,1.41
table,final_group_cv_summary_classification.csv,outputs_ai_quantum_open_science/tables/final_group_cv_summary_classification.csv,0.58
table,final_group_cv_summary_combined_audit.csv,outputs_ai_quantum_open_science/tables/final_group_cv_summary_combined_audit.csv,1.08
table,final_group_cv_summary_regression.csv,outputs_ai_quantum_open_science/tables/final_group_cv_summary_regression.csv,0.42
table,final_ibm_frozen_vs_live_common_backend_drift.csv,outputs_ai_quantum_open_science/tables/final_ibm_frozen_vs_live_common_backend_drift.csv,2.13
table,final_ibm_frozen_vs_live_distribution_summary.csv,outputs_ai_quantum_open_science/tables/final_ibm_frozen_vs_live_distribution_summary.csv,1.32
table,final_ibm_live_collection_summary.csv,outputs_ai_quantum_open_science/tables/final_ibm_live_collection_summary.csv,0.29
table,final_metadata_vs_synthetic_frozen_plausibility_ranges.csv,outputs_ai_quantum_open_science/tables/final_metadata_vs_synthetic_frozen_plausibility_ranges.csv,4.59
table,final_metadata_vs_synthetic_frozen_plausibility_summary.csv,outputs_ai_quantum_open_science/tables/final_metadata_vs_synthetic_frozen_plausibility_summary.csv,0.52
table,final_metadata_vs_synthetic_live_plausibility_ranges.csv,outputs_ai_quantum_open_science/tables/final_metadata_vs_synthetic_live_plausibility_ranges.csv,4.53
table,final_metadata_vs_synthetic_live_plausibility_summary.csv,outputs_ai_quantum_open_science/tables/final_metadata_vs_synthetic_live_plausibility_summary.csv,0.5
table,final_model_results_classification.csv,outputs_ai_quantum_open_science/tables/final_model_results_classification.csv,0.8
table,final_model_results_combined_audit.csv,outputs_ai_quantum_open_science/tables/final_model_results_combined_audit.csv,1.3
table,final_model_results_regression.csv,outputs_ai_quantum_open_science/tables/final_model_results_regression.csv,0.27
table,final_qpu_generation_anchor_reference.csv,outputs_ai_quantum_open_science/tables/final_qpu_generation_anchor_reference.csv,1.8
table,final_real_data_validation_score.csv,outputs_ai_quantum_open_science/tables/final_real_data_validation_score.csv,0.5
table,final_real_validation_aer_small_circuits.csv,outputs_ai_quantum_open_science/tables/final_real_validation_aer_small_circuits.csv,0.24
table,final_real_validation_summary.csv,outputs_ai_quantum_open_science/tables/final_real_validation_summary.csv,1.14
table,final_real_vs_synthetic_qpu_ranges.csv,outputs_ai_quantum_open_science/tables/final_real_vs_synthetic_qpu_ranges.csv,4.51
table,final_review_alpha_strategy_stability.csv,outputs_ai_quantum_open_science/tables/final_review_alpha_strategy_stability.csv,1.3
table,final_review_full_pipeline_alpha_sensitivity.csv,outputs_ai_quantum_open_science/tables/final_review_full_pipeline_alpha_sensitivity.csv,3.3
table,final_review_ibm_frozen_vs_live_anchor_pipeline_paired_deltas.csv,outputs_ai_quantum_open_science/tables/final_review_ibm_frozen_vs_live_anchor_pipeline_paired_deltas.csv,1.07
table,final_review_ibm_frozen_vs_live_anchor_pipeline_summary.csv,outputs_ai_quantum_open_science/tables/final_review_ibm_frozen_vs_live_anchor_pipeline_summary.csv,1.72
table,final_review_information_access_taxonomy.csv,outputs_ai_quantum_open_science/tables/final_review_information_access_taxonomy.csv,1.43
table,final_review_model_family_robustness.csv,outputs_ai_quantum_open_science/tables/final_review_model_family_robustness.csv,0.45
table,final_review_multi_seed_controlled_paired_tests.csv,outputs_ai_quantum_open_science/tables/final_review_multi_seed_controlled_paired_tests.csv,0.82
table,final_review_multi_seed_results.csv,outputs_ai_quantum_open_science/tables/final_review_multi_seed_results.csv,2.87
table,final_review_multi_seed_strategy_results.csv,outputs_ai_quantum_open_science/tables/final_review_multi_seed_strategy_results.csv,12.49
table,final_review_multi_seed_strategy_summary.csv,outputs_ai_quantum_open_science/tables/final_review_multi_seed_strategy_summary.csv,2.27
table,final_review_multi_seed_summary.csv,outputs_ai_quantum_open_science/tables/final_review_multi_seed_summary.csv,1.72
table,final_selection_distribution_comparison.csv,outputs_ai_quantum_open_science/tables/final_selection_distribution_comparison.csv,0.44
table,final_selection_strategy_comparison.csv,outputs_ai_quantum_open_science/tables/final_selection_strategy_comparison.csv,2.05
table,final_subgroup_classification_metrics.csv,outputs_ai_quantum_open_science/tables/final_subgroup_classification_metrics.csv,2.16
table,final_subgroup_ranking_metrics.csv,outputs_ai_quantum_open_science/tables/final_subgroup_ranking_metrics.csv,2.97
table,final_synthetic_data_quality_checks.csv,outputs_ai_quantum_open_science/tables/final_synthetic_data_quality_checks.csv,2.36
table,final_utility_regret_summary.csv,outputs_ai_quantum_open_science/tables/final_utility_regret_summary.csv,0.3
table,real_vs_synthetic_qpu_ranges.csv,outputs_ai_quantum_open_science/tables/real_vs_synthetic_qpu_ranges.csv,4.51
table,real_vs_synthetic_qpu_summary.csv,outputs_ai_quantum_open_science/tables/real_vs_synthetic_qpu_summary.csv,0.5
figure,anchor_alpha_distance_sensitivity.png,outputs_ai_quantum_open_science/figures/anchor_alpha_distance_sensitivity.png,70.33
real_validation,extended_anchor_calibration_detail.csv,outputs_ai_quantum_open_science/real_validation/extended_anchor_calibration_detail.csv,5.89
real_validation,extended_anchor_calibration_summary.csv,outputs_ai_quantum_open_science/real_validation/extended_anchor_calibration_summary.csv,0.37
real_validation,external_anchor_evidence_scope.csv,outputs_ai_quantum_open_science/real_validation/external_anchor_evidence_scope.csv,0.54
real_validation,external_plausibility_summary.csv,outputs_ai_quantum_open_science/real_validation/external_plausibility_summary.csv,1.14
real_validation,external_qpu_metadata.csv,outputs_ai_quantum_open_science/real_validation/external_qpu_metadata.csv,1.51
real_validation,hardware_sanity_protocol.csv,outputs_ai_quantum_open_science/real_validation/hardware_sanity_protocol.csv,0.2
