backend,qpu_modality,metric,alpha,frozen_anchor_value,live_anchor_value,absolute_change_live_minus_frozen,relative_change_pct,ibm_superconducting_anchor_applicable
qpu_cloud_superconducting,superconducting,max_effective_qubits,0.45,78.0,78.0,0.0,0.0,True
qpu_cloud_superconducting,superconducting,base_single_qubit_error,0.45,0.0007995,0.0008344743218268537,3.4974321826853694e-05,4.3745243060479915,True
qpu_cloud_superconducting,superconducting,base_two_qubit_error,0.45,0.00944655,0.009461086226259748,1.4536226259747806e-05,0.15387867803322702,True
qpu_cloud_superconducting,superconducting,base_readout_error,0.45,0.01770505,0.018501586914062503,0.0007965369140625032,4.498924962440113,True
qpu_cloud_superconducting,superconducting,base_coupling_density,0.45,0.18255065,0.18255086848635238,2.1848635237131653e-07,0.00011968533246598494,True
qpu_cloud_superconducting,superconducting,base_t1_us,0.45,124.4314827,132.62208710576414,8.190604405764134,6.582421287634575,True
qpu_cloud_superconducting,superconducting,base_t2_us,0.45,76.83976015,80.86292130003318,4.023161150033175,5.235780463368839,True
qpu_cloud_superconducting,superconducting,base_queue_depth,0.45,135.0,13.5,-121.5,-90.0,True
qpu_cloud_superconducting,superconducting,base_availability,0.45,0.7544,0.7544,0.0,0.0,True
qpu_cloud_iontrap,iontrap,max_effective_qubits,0.45,36.0,36.0,0.0,0.0,False
qpu_cloud_iontrap,iontrap,base_single_qubit_error,0.45,0.0008,0.0008,0.0,0.0,False
qpu_cloud_iontrap,iontrap,base_two_qubit_error,0.45,0.01,0.01,0.0,0.0,False
qpu_cloud_iontrap,iontrap,base_readout_error,0.45,0.018,0.018,0.0,0.0,False
qpu_cloud_iontrap,iontrap,base_coupling_density,0.45,0.95,0.95,0.0,0.0,False
qpu_cloud_iontrap,iontrap,base_t1_us,0.45,800000.0,800000.0,0.0,0.0,False
qpu_cloud_iontrap,iontrap,base_t2_us,0.45,650000.0,650000.0,0.0,0.0,False
qpu_cloud_iontrap,iontrap,base_queue_depth,0.45,11.0,11.0,0.0,0.0,False
qpu_cloud_iontrap,iontrap,base_availability,0.45,0.68,0.68,0.0,0.0,False
