qpu_modality,metric,real_column,synthetic_column,real_min,real_max,synthetic_mean,synthetic_within_reference_range_pct,majority_within_reference_range,status,construct_note,diagnostic_type,inference_scope,anchor_evidence_scope,live_ibm_runtime_available,real_n,synthetic_n
iontrap,backend_capacity_qubits,,max_effective_qubits,,,36.0,,,no_external_reference_for_modality,physical/backend capacity; excludes workload num_qubits,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,0,700
iontrap,single_qubit_error,,single_qubit_error,,,0.0008699441935065412,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,0,700
iontrap,two_qubit_error,,two_qubit_error,,,0.011715763611936651,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,0,700
iontrap,readout_error,,readout_error,,,0.019230355729124675,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,0,700
iontrap,coupling_density,,coupling_density,,,0.937178425928928,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,0,700
iontrap,t1_us,,t1_us,,,818465.0959998516,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,0,700
iontrap,t2_us,,t2_us,,,660277.7915264408,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,0,700
iontrap,queue_depth,,queue_depth,,,10.98,,,no_external_reference_for_modality,time-sensitive operational state; interpreted descriptively,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,0,700
superconducting,backend_capacity_qubits,n_qubits,max_effective_qubits,156.0,156.0,78.0,0.0,False,limited_range_overlap,physical/backend capacity; excludes workload num_qubits,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,3,700
superconducting,single_qubit_error,median_1q_gate_error,single_qubit_error,0.00035710088406411733,0.00044279593465282324,0.0009099705279714385,18.285714285714285,False,limited_range_overlap,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,3,700
superconducting,two_qubit_error,median_2q_gate_error,two_qubit_error,0.0018818793036988607,0.0032276269848314776,0.010823154527902376,6.2857142857142865,False,limited_range_overlap,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,3,700
superconducting,readout_error,median_readout_error,readout_error,0.0098876953125,0.012451171875,0.019620708273376156,37.57142857142857,False,limited_range_overlap,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,3,700
superconducting,coupling_density,coupling_density,coupling_density,0.01455748552522746,0.01455748552522746,0.18419926627715633,0.2857142857142857,False,limited_range_overlap,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,3,700
superconducting,t1_us,median_t1_us,t1_us,135.41518082308852,227.9254424823823,126.73651020801246,97.85714285714285,True,majority_within_reference_range,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,3,700
superconducting,t2_us,median_t2_us,t2_us,73.12766690975978,133.81078862259642,79.50751689701212,99.42857142857143,True,majority_within_reference_range,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,3,700
superconducting,queue_depth,pending_jobs,queue_depth,4.0,36.0,135.19571428571427,0.0,False,limited_range_overlap,time-sensitive operational state; interpreted descriptively,external_range_overlap_plausibility,descriptive_metadata_level_only,live_ibm_qiskit_runtime_metadata,True,3,700
