seed,alpha,n_workloads,n_pairs,Accuracy,Precision,Recall,F1,runtime_MAE,runtime_RMSE,runtime_R2,fidelity_MAE,fidelity_RMSE,fidelity_R2,selection_Top1,selection_mean_regret,selection_p90_regret,selection_explicit_policy_weights
11,0.45,700,3500,0.7028571428571428,0.6208651399491094,0.8052805280528053,0.7011494252873564,30.343125744642883,47.63925338573787,0.9941907125215295,0.0286881032670437,0.04260459031324069,0.946190898200661,0.6,0.009786003275155499,0.03035603627928333,True
23,0.45,700,3500,0.6957142857142857,0.6174863387978142,0.7558528428093646,0.6796992481203008,32.462363180227406,50.27421971243188,0.9911399370768293,0.02949124741142502,0.04466253079132357,0.9479089326403192,0.6142857142857143,0.011845868542946718,0.0404018983810771,True
37,0.45,700,3500,0.7014285714285714,0.6074074074074074,0.831081081081081,0.7018544935805991,30.57232428524533,48.74878831519799,0.9917809814462795,0.029277004301215215,0.042608346226808196,0.946649359667003,0.5214285714285715,0.016282933936008603,0.06796717010005615,True
51,0.45,700,3500,0.7171428571428572,0.6377952755905512,0.801980198019802,0.7105263157894737,31.27705521153963,46.08189678429989,0.9916987168147513,0.028499645454382327,0.041123961708130465,0.9528555724194651,0.5214285714285715,0.010115354863033754,0.04298469708435716,True
73,0.45,700,3500,0.7071428571428572,0.6361111111111111,0.7557755775577558,0.6907993966817496,31.055475802333042,49.99377029124397,0.9909684117969391,0.028593845075890037,0.04094500211413276,0.9557754478003843,0.6071428571428571,0.010022013624169036,0.04353446907039502,True
89,0.45,700,3500,0.6928571428571428,0.6329113924050633,0.78125,0.6993006993006993,35.974256447795455,57.8653683964113,0.9877054943520595,0.029486557716545646,0.04238418163557659,0.9465588328454501,0.5785714285714286,0.013995351448609894,0.049286134833550314,True
101,0.45,700,3500,0.7128571428571429,0.6424418604651163,0.7391304347826086,0.687402799377916,31.728720234516203,52.08696678875444,0.9914331085447368,0.028852925769153482,0.04311512991598311,0.9486973900861589,0.5857142857142857,0.010543518644217136,0.04279303728224586,True
127,0.45,700,3500,0.6871428571428572,0.5909090909090909,0.7700348432055749,0.6686838124054463,29.790901540630326,48.41666176587563,0.9919128706174984,0.028527773115634533,0.04143500481858079,0.9490484927061713,0.4714285714285714,0.012779730936615765,0.04959130064828384,True
151,0.45,700,3500,0.6942857142857143,0.6448863636363636,0.7183544303797469,0.6796407185628742,31.78319706990337,50.651861931121054,0.9910004957393869,0.029813564846240915,0.04323699172131782,0.9496814465042438,0.5714285714285714,0.011719289497878663,0.05245373515784346,True
181,0.45,700,3500,0.7214285714285714,0.6185286103542235,0.8049645390070922,0.699537750385208,33.05860772954062,51.518929206131794,0.9898149799317212,0.028221261733842533,0.04161021092138667,0.9502342773266518,0.5928571428571429,0.01009257203473101,0.04083965216049883,True
