strategy,Top-1 accuracy,mean_regret,median_regret,p90_regret,low_regret_rate_le_0_03,n_workloads,seed,alpha,explicit_policy_weights,direct_utility_target_training,learned_acceptability_gating,information_role
ML_OOF_classifier_gated_policy_weighted,0.6,0.009786003275155499,0.0,0.03035603627928333,0.9,140,11,0.45,True,False,True,primary policy-informed hybrid selector
policy_informed_weighted_no_classifier,0.65,0.007575966621566799,0.0,0.023860965350014415,0.9142857142857143,140,11,0.45,True,False,False,controlled policy-weighted reference
ML_OOF_probability_only_selection,0.4785714285714286,0.031887658477730126,0.0,0.08356982866378884,0.7285714285714285,140,11,0.45,False,False,True,learned no-explicit-weight baseline
heuristic_min_predicted_runtime,0.29285714285714287,0.06443240250867129,0.017901348552019136,0.233871277303213,0.5785714285714286,140,11,0.45,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.42142857142857143,0.06071320021215335,0.00935940769813809,0.2662026287109344,0.6571428571428571,140,11,0.45,False,False,False,single-criterion heuristic
heuristic_min_total_cost,0.2642857142857143,0.09130930181927416,0.038522858073128274,0.31727653873836587,0.4857142857142857,140,11,0.45,False,False,False,single-criterion heuristic
heuristic_min_failure_probability,0.45,0.05173373383824358,0.0,0.18905188053039124,0.7285714285714285,140,11,0.45,False,False,False,single-criterion heuristic
ML_OOF_classifier_gated_policy_weighted,0.6142857142857143,0.011845868542946718,0.0,0.0404018983810771,0.8357142857142857,140,23,0.45,True,False,True,primary policy-informed hybrid selector
policy_informed_weighted_no_classifier,0.6428571428571429,0.00955131263173558,0.0,0.033029618967308924,0.8642857142857143,140,23,0.45,True,False,False,controlled policy-weighted reference
ML_OOF_probability_only_selection,0.45,0.02731585145418771,0.0,0.09491907100147942,0.7142857142857143,140,23,0.45,False,False,True,learned no-explicit-weight baseline
heuristic_min_predicted_runtime,0.35,0.06914102656915219,0.004314488089826929,0.2990367945111031,0.6071428571428571,140,23,0.45,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.42142857142857143,0.07492477667902604,0.0,0.2971072297471473,0.5928571428571429,140,23,0.45,False,False,False,single-criterion heuristic
heuristic_min_total_cost,0.29285714285714287,0.09596706847139172,0.038522461817510845,0.33238958361393767,0.45714285714285713,140,23,0.45,False,False,False,single-criterion heuristic
heuristic_min_failure_probability,0.5142857142857142,0.06359100564684499,0.0,0.3115733994040764,0.6714285714285714,140,23,0.45,False,False,False,single-criterion heuristic
ML_OOF_classifier_gated_policy_weighted,0.5214285714285715,0.016282933936008603,0.0,0.06796717010005615,0.7785714285714286,140,37,0.45,True,False,True,primary policy-informed hybrid selector
policy_informed_weighted_no_classifier,0.5142857142857142,0.01535582979951458,0.0,0.06556495749183675,0.7857142857142857,140,37,0.45,True,False,False,controlled policy-weighted reference
ML_OOF_probability_only_selection,0.4714285714285714,0.028429159288161643,0.0,0.08348129104486288,0.7214285714285714,140,37,0.45,False,False,True,learned no-explicit-weight baseline
heuristic_min_predicted_runtime,0.2785714285714286,0.0792849857158907,0.023705924070006212,0.31401663951741077,0.5214285714285715,140,37,0.45,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.3357142857142857,0.08258935535445794,0.00873627104626723,0.30753390023166755,0.55,140,37,0.45,False,False,False,single-criterion heuristic
