group_type,group_value,n_workloads,Top1_accuracy,mean_utility_regret,median_utility_regret,mean_relative_utility_regret,low_regret_rate_le_0_03,mean_true_rank_of_predicted_backend
algorithm,GHZ,21,0.5238095238095238,0.017827968386324035,0.0,0.018675663429532245,0.8095238095238095,1.9523809523809523
algorithm,HHL,26,0.46153846153846156,0.0182320639991525,0.0,0.01961452026439242,0.7307692307692307,1.8846153846153846
algorithm,Hamiltonian,28,0.6071428571428571,0.010776262404669881,0.0,0.011599686479055541,0.9285714285714286,1.5357142857142858
algorithm,QAOA,23,0.6521739130434783,0.012108559345082278,0.0,0.013338164254281191,0.8695652173913043,1.565217391304348
algorithm,QML,18,0.5,0.013026330064277206,0.0,0.01509751795952221,0.8333333333333334,1.8333333333333333
algorithm,VQE,24,0.5416666666666666,0.01007899894651848,0.0,0.010852521418161126,0.875,1.6666666666666667
algorithm_family,entanglement_kernel,21,0.5238095238095238,0.017827968386324035,0.0,0.018675663429532245,0.8095238095238095,1.9523809523809523
algorithm_family,linear_solver,26,0.46153846153846156,0.0182320639991525,0.0,0.01961452026439242,0.7307692307692307,1.8846153846153846
algorithm_family,quantum_machine_learning,18,0.5,0.013026330064277206,0.0,0.01509751795952221,0.8333333333333334,1.8333333333333333
algorithm_family,quantum_simulation,28,0.6071428571428571,0.010776262404669881,0.0,0.011599686479055541,0.9285714285714286,1.5357142857142858
algorithm_family,variational_optimization,23,0.6521739130434783,0.012108559345082278,0.0,0.013338164254281191,0.8695652173913043,1.565217391304348
algorithm_family,variational_simulation,24,0.5416666666666666,0.01007899894651848,0.0,0.010852521418161126,0.875,1.6666666666666667
decision_profile,cost_sensitive,20,0.6,0.007872069698409945,0.0,0.008278390788593692,0.85,1.55
decision_profile,deadline_sensitive,24,0.5416666666666666,0.008441954169975799,0.0,0.009009723480682576,0.9166666666666666,1.5416666666666667
decision_profile,educational,28,0.5714285714285714,0.01517635588389195,0.0,0.01556594336460926,0.8214285714285714,1.6785714285714286
decision_profile,fidelity_sensitive,24,0.3333333333333333,0.022555414899999706,0.0,0.02523632552880774,0.75,2.2916666666666665
decision_profile,hpc_batch,20,0.5,0.024340527268174855,0.0,0.025507020608934405,0.75,1.7
decision_profile,research_validation,24,0.75,0.0038290152696570565,0.0,0.005520478211511693,0.9583333333333334,1.5833333333333333
true_backend,noisy_sim,27,0.037037037037037035,0.028260271109430586,0.01846643386284741,0.03016429799180235,0.6666666666666666,2.4074074074074074
true_backend,qpu_cloud_iontrap,28,0.6428571428571429,0.012921313183478096,0.0,0.015128337297666208,0.8571428571428571,1.7857142857142858
true_backend,qpu_cloud_superconducting,1,0.0,0.0,0.0,0.0,1.0,5.0
true_backend,statevector_sim,39,0.6923076923076923,0.01115744638496967,0.0,0.01156485218615972,0.8461538461538461,1.4102564102564104
true_backend,tensor_network_sim,45,0.6888888888888889,0.007667969558356054,0.0,0.008375390446447183,0.9333333333333333,1.488888888888889
