qpu_modality,metric,real_column,synthetic_column,real_min,real_max,synthetic_mean,synthetic_within_reference_range_pct,majority_within_reference_range,status,construct_note,diagnostic_type,inference_scope,anchor_evidence_scope,live_ibm_runtime_available,real_n,synthetic_n
iontrap,backend_capacity_qubits,,max_effective_qubits,,,36.0,,,no_external_reference_for_modality,physical/backend capacity; excludes workload num_qubits,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,0,700
iontrap,single_qubit_error,,single_qubit_error,,,0.0008699441935065412,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,0,700
iontrap,two_qubit_error,,two_qubit_error,,,0.011715763611936651,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,0,700
iontrap,readout_error,,readout_error,,,0.019230355729124675,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,0,700
iontrap,coupling_density,,coupling_density,,,0.937178425928928,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,0,700
iontrap,t1_us,,t1_us,,,818465.0959998516,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,0,700
iontrap,t2_us,,t2_us,,,660277.7915264408,,,no_external_reference_for_modality,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,0,700
iontrap,queue_depth,,queue_depth,,,10.98,,,no_external_reference_for_modality,time-sensitive operational state; interpreted descriptively,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,0,700
superconducting,backend_capacity_qubits,n_qubits,max_effective_qubits,156.0,156.0,78.0,0.0,False,limited_range_overlap,physical/backend capacity; excludes workload num_qubits,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,3,700
superconducting,single_qubit_error,median_1q_gate_error,single_qubit_error,0.000306,0.000343,0.0009099705279714385,8.0,False,limited_range_overlap,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,3,700
superconducting,two_qubit_error,median_2q_gate_error,two_qubit_error,0.001882,0.002727,0.010823154527902376,2.7142857142857144,False,limited_range_overlap,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,3,700
superconducting,readout_error,median_readout_error,readout_error,0.008728,0.009888,0.019620708273376156,21.0,False,limited_range_overlap,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,3,700
superconducting,coupling_density,coupling_density,coupling_density,0.014557,0.014557,0.18419926627715633,0.2857142857142857,False,limited_range_overlap,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,3,700
superconducting,t1_us,median_t1_us,t1_us,119.371513,255.971616,126.73651020801246,100.0,True,majority_within_reference_range,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,3,700
superconducting,t2_us,median_t2_us,t2_us,81.037188,151.644539,79.50751689701212,98.28571428571429,True,majority_within_reference_range,matched operational construct,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,3,700
superconducting,queue_depth,pending_jobs,queue_depth,255.0,499.0,135.19571428571427,66.28571428571428,True,majority_within_reference_range,time-sensitive operational state; interpreted descriptively,external_range_overlap_plausibility,descriptive_metadata_level_only,frozen_ibm_qiskit_runtime_metadata_snapshot,False,3,700
