strategy,Top-1 accuracy,mean_regret,median_regret,p90_regret,mean_relative_regret,low_regret_rate_le_0_03,n_workloads,explicit_policy_weights,direct_utility_target_training,learned_acceptability_gating,information_role
policy_informed_weighted_no_classifier,0.5642857142857143,0.01178444372650363,0.0,0.05287726700559137,0.012708056575138096,0.8714285714285714,140,True,False,False,controlled policy-weighted reference
gbr_direct_utility_ranker,0.55,0.012793309843551108,0.0,0.05287726700559137,0.01402461047933087,0.85,140,,,,
ML_OOF_classifier_gated_policy_weighted,0.55,0.013607308058798943,0.0,0.0539164594108305,0.01475679496759764,0.8428571428571429,140,True,False,True,primary policy-informed hybrid selector
rf_direct_utility_ranker,0.5571428571428572,0.014458785555932392,0.0,0.06217588215936461,0.0163361347824507,0.8357142857142857,140,,,,
policy_informed_topsis_predicted,0.55,0.01525259796030995,0.0,0.06517849188555414,0.016761371062807725,0.8357142857142857,140,,,,
ML_OOF_probability_only_selection,0.39285714285714285,0.027679442594770735,0.0,0.08966503497865937,0.02978950244816994,0.6928571428571428,140,False,False,True,learned no-explicit-weight selection baseline
heuristic_min_failure_probability,0.4142857142857143,0.06141686392847865,0.0,0.27213751675095654,0.0699896630392053,0.7071428571428572,140,False,False,False,single-criterion heuristic
pareto_dominance_unweighted_predicted,0.34285714285714286,0.06149094569889859,0.0012679161062089661,0.2763335917419696,0.06956696056179396,0.6928571428571428,140,,,,
heuristic_min_predicted_runtime,0.3142857142857143,0.06262955539062945,0.013986748617001166,0.27213751675095654,0.07102610673549005,0.6214285714285714,140,False,False,False,single-criterion heuristic
heuristic_max_predicted_fidelity,0.37857142857142856,0.07078614404332208,0.0,0.2741678747612469,0.08010878562344051,0.6428571428571429,140,False,False,False,single-criterion heuristic
heuristic_min_total_cost,0.25,0.09596295951166423,0.04852025847538827,0.29119552674465343,0.10867985925841486,0.4785714285714286,140,False,False,False,single-criterion heuristic
